Generating SQLite file profiles/small_ctx512_forward.sqlite from profiles/small_ctx512_forward.nsys-rep
Processing [profiles/small_ctx512_forward.sqlite] with [/home/lanyuqi/assignment2-systems/.tools/nsight-systems-2026.4.1/opt/nvidia/nsight-systems-cli/2026.4.1/target-linux-x64/reports/cuda_gpu_kern_sum.py](nvtx=benchmark)... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)    Med (ns)   Min (ns)  Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  ---------  --------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     40.5       20,442,627         84    243,364.6   72,802.0    66,977  2,411,705    429,365.0  ampere_sgemm_128x64_tn                                                                              
     26.2       13,247,580         12  1,103,965.0  105,666.5   103,619  2,542,812  1,235,701.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
      7.5        3,780,888         13    290,837.5   51,553.0    49,377  3,154,635    860,468.3  ampere_sgemm_128x128_tn                                                                             
      6.4        3,219,529         12    268,294.1   57,729.0    55,393  2,587,645    730,406.5  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      6.4        3,219,400        146     22,050.7    4,672.0     3,296  2,489,819    205,658.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      2.3        1,172,156         12     97,679.7   99,298.0    87,970     99,811      4,075.8  ampere_sgemm_128x128_nn                                                                             
      2.1        1,068,568         24     44,523.7   44,593.0    30,657     57,537     12,730.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
      1.8          908,728         12     75,727.3   75,218.0    71,778     84,322      2,971.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIterat…
      1.4          721,006         12     60,083.8   61,681.5    44,193     66,050      5,799.8  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      1.4          710,293         12     59,191.1   59,169.5    58,306     59,809        457.7  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.9          448,044         72      6,222.8    3,024.0     2,912     14,817      4,593.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
      0.9          433,289         12     36,107.4   36,128.5    35,041     37,249        687.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_kernel_cuda(at::TensorIt…
      0.5          240,362         12     20,030.2   19,920.5    19,617     20,737        362.2  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<flo…
      0.5          234,754         24      9,781.4    9,664.0     4,768     15,328      5,061.1  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.4          185,665         12     15,472.1   15,424.0    15,200     15,904        200.4  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      0.3          173,219         24      7,217.5    7,248.0     7,040      7,456        115.6  void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)4>,…
      0.2          109,667         25      4,386.7    4,416.0     4,160      4,672        124.2  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scala…
      0.2           87,010         25      3,480.4    3,552.0     3,264      3,616        116.2  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
      0.1           28,737         12      2,394.8    2,400.0     2,368      2,401         12.5  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.1           26,082         25      1,043.3      992.0       992      1,281        100.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, st…
      0.1           25,506         25      1,020.2    1,024.0       992      1,056         16.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIter…
      0.0           14,400         12      1,200.0    1,248.0       992      1,376        129.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
      0.0           10,496         12        874.7      864.0       864        896         15.8  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
      0.0            8,225          1      8,225.0    8,225.0     8,225      8,225          0.0  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…

