Generating SQLite file profiles/small_ctx512_full.sqlite from profiles/small_ctx512_full.nsys-rep
Processing [profiles/small_ctx512_full.sqlite] with [/home/lanyuqi/assignment2-systems/.tools/nsight-systems-2026.4.1/opt/nvidia/nsight-systems-cli/2026.4.1/target-linux-x64/reports/cuda_gpu_kern_sum.py](nvtx=benchmark)... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     14.7         13049037         84  155345.7   72912.0     69536    275903      97802.4  ampere_sgemm_128x64_tn                                                                              
     10.0          8854292         72  122976.3   69392.0     67904    237280      76764.5  ampere_sgemm_128x64_nn                                                                              
      9.6          8484049        196   43286.0   12832.0      1088    153952      45857.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
      8.2          7240951         36  201137.5  201744.0    196256    204863       2736.5  void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nt_align1>(T1::Params)                      
      5.1          4497817         48   93704.5  103888.0     57696    110975      20551.8  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      4.8          4295800         48   89495.8   90015.5     83487     97760       4568.0  ampere_sgemm_128x32_nt                                                                              
      3.7          3293723         13  253363.3  228352.0    226559    554815      90582.3  void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params)                      
      3.7          3262493        229   14246.7    5856.0      3104    116160      25259.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
      2.9          2559964        181   14143.4    9536.0      4960    108896      13357.5  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      2.6          2314046         14  165289.0  185775.5     43200    187391      51604.0  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      2.5          2257949          7  322564.1  358944.0     80480    374752     106935.3  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMe…
      2.4          2151453         24   89643.9   89183.5     70368    108128      16965.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
      2.4          2142267         24   89261.1   90384.0     72512    104512      14801.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIterat…
      2.4          2131551         24   88814.6   88768.0     87616     89792        607.6  ampere_sgemm_128x128_nn                                                                             
      2.4          2120476         24   88353.2   88239.5     87488     89728        525.6  ampere_sgemm_128x128_nt                                                                             
      2.1          1888383         25   75535.3   50304.0     49408    677919     125500.2  ampere_sgemm_128x128_tn                                                                             
      1.9          1705885          7  243697.9  272832.0     61568    277695      80336.4  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      1.9          1704349          7  243478.4  272896.0     60544    276863      80693.9  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      1.9          1646367         24   68598.6   69328.0     56320     80960      11076.9  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      1.8          1603583        292    5491.7    5120.0      3296     12576       2281.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      1.7          1536990         24   64041.3   63840.0     61184     69280       2261.9  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      1.6          1423934         61   23343.2   15935.0      3776     78239      27784.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      1.3          1160446          7  165778.0  185791.0     43456    187456      53948.2  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      1.3          1160415          7  165773.6  185696.0     42400    189024      54427.3  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      1.3          1157598          7  165371.1  186784.0     42816    187872      54097.7  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMe…
      1.1           956415         12   79701.3   79808.0     78784     80800        605.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_backward_kernel_cuda(at:…
      1.0           903967         12   75330.6   75280.0     72704     77920       1524.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIterat…
      0.6           552735          1  552735.0  552735.0    552735    552735          0.0  void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_nt_align1>(T1::Params)                      
      0.5           466367         12   38863.9   38896.0     37728     39968        630.2  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_kernel_cuda(at::TensorIt…
      0.4           328672         38    8649.3    1360.0      1056     23808      10428.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
      0.4           311455         36    8651.5    8032.0      7648     10208       1031.7  void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)4>,…
      0.3           258976         12   21581.3   21504.0     21152     22240        327.9  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<flo…
      0.2           201568         25    8062.7    8416.0      6976      8800        633.9  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapp…
      0.2           194944         26    7497.8    3792.0      3456    101760      19227.1  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
      0.2           163552         26    6290.5    4608.0      4544     48480       8605.1  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.2           141568         24    5898.7    5872.0      4352      7584       1228.7  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.2           138655         50    2773.1    2752.0      1056      4576       1725.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
      0.1           118911         25    4756.4    4736.0      4640      4960         73.8  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scala…
      0.1            85440         12    7120.0    7136.0      6912      7296         98.9  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
      0.1            57120         12    4760.0    4768.0      4640      4864         77.3  void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsig…
      0.0            30080         12    2506.7    2496.0      2496      2528         15.8  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0            29824         25    1193.0    1088.0      1024      1536        167.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, st…
      0.0            27264         25    1090.6    1088.0      1056      1120         15.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIter…
      0.0            26752         25    1070.1    1056.0      1056      1088         16.2  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scala…
      0.0            12096         13     930.5     928.0       896       960         15.8  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
      0.0            11520          1   11520.0   11520.0     11520     11520          0.0  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.0             6400          1    6400.0    6400.0      6400      6400          0.0  void <unnamed>::indexing_backward_kernel<float, (int)4>(const long *, const long *, const T1 *, T1 …
      0.0             6208          1    6208.0    6208.0      6208      6208          0.0  void at_cuda_detail::cub::detail::radix_sort::DeviceRadixSortSingleTileKernel<at_cuda_detail::cub::…
